track_ids,track_names,artists,first_artists,danceability,energy,loudness,mode,acousticness,instrumentalness,valence,tempo,mood
6G7MHIvSDR3ehXPkuDFAlM,California Dreamin',['Bobby Womack'],Bobby Womack,0.47,0.385,-13.159,0,0.767,0.0653,0.694,112.377,happy
3aCbwWCYCT3MJjZeUnlcp4,Baby I Need Your Loving,['Four Tops'],Four Tops,0.632,0.686,-6.116,0,0.437,0.0,0.65,121.414,happy
0G3fbPbE1vGeABDEZF0jeG,Good Times,['CHIC'],CHIC,0.87,0.657,-7.32,1,0.149,0.0102,0.893,110.596,happy
0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,['Sam Cooke'],Sam Cooke,0.523,0.402,-8.233,1,0.778,0.0,0.675,70.863,happy
4ZVZBc5xvMyV3WzWktn8i7,Everyday People,['Sly & The Family Stone'],Sly & The Family Stone,0.807,0.497,-10.656,1,0.307,0.0327,0.765,114.524,happy
4NRQwaks9r58tTDvr4iEyv,In the Midnight Hour,['Wilson Pickett'],Wilson Pickett,0.75,0.444,-8.63,1,0.12,3.69e-06,0.849,111.919,happy
676Rf0qIOh2gKNEl9TnCOx,Get Ready,['The Temptations'],The Temptations,0.591,0.737,-5.867,1,0.404,0.0,0.878,133.025,happy
2DccHqTquzubziHAPZRdct,B-Side,"['Khruangbin', 'Leon Bridges']",Khruangbin,0.732,0.734,-10.574,1,0.0777,0.172,0.687,104.764,happy
3VgrSJEKBRT3xmwzpaxxEF,(Love Is Like A) Heat Wave,['Martha Reeves & The Vandellas'],Martha Reeves & The Vandellas,0.514,0.624,-9.287,0,0.513,0.00517,0.755,166.726,happy
0DGTcMqvVR7fmBXgiG6jz4,Just A Cloud Away,['Pharrell Williams'],Pharrell Williams,0.89,0.46,-8.155,1,0.432,0.0,0.677,112.555,happy
2oZmMp5M6L0Rh7G84Um2tF,Chain of Fools,['Aretha Franklin'],Aretha Franklin,0.721,0.567,-9.516,1,0.221,0.0,0.914,116.643,happy
7FS541dJh3iQAEXEZoDhE6,Twistin' the Night Away,['Sam Cooke'],Sam Cooke,0.458,0.801,-7.83,1,0.691,0.0,0.93,160.547,happy
6LzjgzpVl0hB3YrBU1b8Z1,The Boss,"['James Brown', ""The J.B.'s""]",James Brown,0.736,0.354,-14.709,1,0.579,0.0103,0.62,97.924,happy
7wLRmjiDYI6flIVzboUqSV,You've Really Got A Hold On Me,['The Miracles'],The Miracles,0.68,0.448,-8.398,1,0.698,0.0,0.567,118.461,happy
00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,['The Brothers Johnson'],The Brothers Johnson,0.73,0.622,-11.7,0,0.269,0.00874,0.752,90.973,happy
62r1CS9zL1FL5Ilb7hLX7n,Take Me to the River,['Al Green'],Al Green,0.786,0.418,-11.115,1,0.218,0.000158,0.94,119.101,happy
2gliw3L0oa4w8LqaHploje,Cruisin',['Smokey Robinson'],Smokey Robinson,0.498,0.63,-5.808,0,0.416,0.0,0.822,169.115,happy
3sTc75CCyIw4FPs6cXkOe7,Save Room,['John Legend'],John Legend,0.69,0.572,-6.131,1,0.0451,0.0,0.375,111.92,happy
72PoJMDfdaw9gGECgA9kTZ,Nothing From Nothing,['Billy Preston'],Billy Preston,0.808,0.83,-3.995,0,0.613,0.0112,0.909,102.8,happy
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",['Ray Charles'],Ray Charles,0.54,0.681,-5.44,1,0.808,0.0,0.794,88.385,happy
5AoTuHE5P5bvC7BBppYnja,Respect - 2003 Remaster,['Aretha Franklin'],Aretha Franklin,0.744,0.611,-6.386,1,0.0723,0.000532,0.961,114.991,happy
6vcG9EgeqJUSmmF65lxUm6,One Fine Day,['The Chiffons'],The Chiffons,0.251,0.868,-2.685,1,0.488,7.34e-06,0.599,177.13,happy
241RmK77gecJ1y7jOoQ5lu,This Will Be (An Everlasting Love) - 2003 Remaster,['Natalie Cole'],Natalie Cole,0.682,0.605,-10.771,1,0.185,0.00326,0.914,125.96,happy
2zyTP97uGsIc1C4KNNEkyn,Across 110th Street,['Bobby Womack'],Bobby Womack,0.476,0.585,-14.211,0,0.107,1.43e-05,0.523,110.275,happy
7zrPswSV1yxrill5OyCuaU,Pusherman,['Curtis Mayfield'],Curtis Mayfield,0.851,0.669,-9.562,1,0.239,0.0852,0.911,126.624,happy
3YJx77Xx8JSwEoxqrkQO5c,Knock on Wood,['Eddie Floyd'],Eddie Floyd,0.864,0.346,-12.918,1,0.277,0.00521,0.964,105.164,happy
4TBBPZks71c60whhq0PgdP,(Your Love Keeps Lifting Me) Higher & Higher,['Jackie Wilson'],Jackie Wilson,0.631,0.69,-6.676,1,0.176,0.0,0.938,94.574,happy
4pW3aTX3kAmOaPJfc9UM12,Express Yourself,['Charles Wright & The Watts 103rd Street Rhythm Band'],Charles Wright & The Watts 103rd Street Rhythm Band,0.789,0.683,-8.835,1,0.48,0.0,0.882,92.311,happy
2OyaNAq8BcGstyzueloqpE,Too Late To Turn Back Now,['Cornelius Brothers & Sister Rose'],Cornelius Brothers & Sister Rose,0.516,0.73,-7.136,1,0.344,0.0,0.907,115.126,happy
35w6fQ0Wnuv7aIryRx7gTq,B-A-B-Y,['Carla Thomas'],Carla Thomas,0.74,0.301,-11.975,1,0.428,0.0,0.669,113.61,happy
4XsH9zBWPOCdXoH9ZDdS8r,Superfly,['Curtis Mayfield'],Curtis Mayfield,0.784,0.708,-9.141,1,0.457,7.5e-05,0.748,120.11,happy
2QOB5UiRKggr2j9uMD3GYK,FREEDOM,['Jon Batiste'],Jon Batiste,0.873,0.651,-4.179,1,0.0251,0.000107,0.828,115.002,happy
4FlYcJnfkeBpowEHJ72Bmt,Rockin' Robin,['Bobby Day'],Bobby Day,0.541,0.608,-13.083,1,0.298,0.0,0.938,171.992,happy
4uCbetXW9LStYPUjCpBVp9,Son of a Preacher Man,['Aretha Franklin'],Aretha Franklin,0.474,0.473,-11.454,1,0.545,1.25e-06,0.561,77.583,happy
7KMILVTQdVS4zQ8ilTcpRO,Theme From Shaft - Remastered 2009,['Isaac Hayes'],Isaac Hayes,0.487,0.716,-17.689,0,0.233,0.00445,0.819,120.795,happy
1MQWtVcs0PKsY4PA6ZvLiy,Dance to the Music,['Sly & The Family Stone'],Sly & The Family Stone,0.703,0.529,-11.112,1,0.0168,0.00057,0.772,128.059,happy
3zYQ1KXzqBWRsxIqdVMoYF,Need Your Love,['Curtis Harding'],Curtis Harding,0.713,0.8,-5.938,0,0.0491,7.96e-05,0.814,139.942,happy
01gDLZsi0j5fWC28FLPNO8,Move on Up - Extended Version,['Curtis Mayfield'],Curtis Mayfield,0.584,0.975,-6.534,0,0.141,0.501,0.876,138.341,happy
6igsoAR6Co9u7Rq3U7mlOD,Hollywood Swinging,['Kool & The Gang'],Kool & The Gang,0.623,0.824,-8.971,0,0.0195,0.13,0.574,111.356,happy
0FdvQVBKMN5Vc2SiN7bU0Z,Illusions,['Jalen Ngonda'],Jalen Ngonda,0.415,0.829,-4.672,1,0.0941,0.00082,0.762,192.033,happy
3tSi6iFO9yLGIYIqMEgjC9,I Want You Back,['The Jackson 5'],The Jackson 5,0.67,0.584,-8.325,1,0.436,0.006,0.944,98.185,happy
7F1eoVZd2ySSJ70iP3PN1m,I Get The Sweetest Feeling,['Jackie Wilson'],Jackie Wilson,0.684,0.482,-9.234,1,0.778,0.000351,0.749,123.532,happy
5NelxeQ8Yd4ytdhdGog8c5,(You) Got What I Need,['Freddie Scott'],Freddie Scott,0.408,0.518,-10.842,1,0.534,0.0,0.805,186.947,happy
5usNPz6U1acDrkUYekGYDY,Then He Kissed Me,['The Crystals'],The Crystals,0.44,0.682,-7.416,1,0.681,3.33e-05,0.626,135.917,happy
7N3UAu6FkwdBg9J7OONBBP,Jimmy Mack,['Martha Reeves & The Vandellas'],Martha Reeves & The Vandellas,0.701,0.517,-7.951,1,0.765,0.0,0.688,127.401,happy
74iQ3gahRTOGc19bYadBE3,Thank You (Falettinme Be Mice Elf Agin) - Single Version,['Sly & The Family Stone'],Sly & The Family Stone,0.9,0.709,-12.683,1,0.296,0.00047,0.897,105.822,happy
0NnyYBnyStcNKDu7PejLPF,Love the One You're With,['The Isley Brothers'],The Isley Brothers,0.75,0.78,-7.861,1,0.367,2.67e-06,0.738,94.864,happy
26fSgIa539TCK3KV76chHU,Needle In A Haystack,['The Velvelettes'],The Velvelettes,0.699,0.756,-3.617,1,0.565,2.89e-06,0.74,77.52,happy
7fp41IDi1dqARoX0Nuvz5O,The Oogum Boogum Song,['Brenton Wood'],Brenton Wood,0.885,0.64,-5.305,1,0.765,0.0,0.851,112.658,happy
6KNV6L3b7beomEUnzWgw0X,Ride or Die,"['Durand Jones & The Indications', 'Aaron Frazer']",Durand Jones & The Indications,0.607,0.629,-10.509,1,0.375,0.0806,0.688,101.974,happy
01gwPP2h3ajRnqiIphUtR7,ABC,['The Jackson 5'],The Jackson 5,0.722,0.804,-7.84,1,0.426,0.000504,0.961,93.65,happy
4NL8D4RQsC6ux6eI3m3Lg5,Everybody Needs Somebody to Love,['Solomon Burke'],Solomon Burke,0.629,0.543,-9.185,1,0.145,0.0,0.858,75.519,happy
5wJcMwXuy1x6EatowWOxha,Dancing In The Street,['Martha Reeves & The Vandellas'],Martha Reeves & The Vandellas,0.601,0.828,-5.268,0,0.108,2.35e-06,0.618,125.945,happy
3AW8RH8wosGLxd6ZojTGBe,Hard to Handle,['Otis Redding'],Otis Redding,0.666,0.549,-8.672,1,0.573,1.84e-06,0.961,95.552,happy
6iNHWlOLt4NuDi9iSvtznO,Ladies,"['Lee Fields & The Expressions', 'Lee Fields']",Lee Fields & The Expressions,0.48,0.751,-5.702,0,0.188,1.69e-05,0.789,177.371,happy
7b8s4Z0abQQ4x4jpct4GjR,Cissy Strut,['The Meters'],The Meters,0.521,0.799,-11.993,1,0.106,0.732,0.709,175.921,happy
2oezpnnea1VXHpJEbqnBhw,It's Your Thing,['The Isley Brothers'],The Isley Brothers,0.378,0.682,-10.228,1,0.0777,2.83e-06,0.89,185.273,happy
5fNDP3NTdE69szQHUl4fFr,Please Mr. Postman,['The Marvelettes'],The Marvelettes,0.781,0.837,-5.245,1,0.711,6.69e-06,0.961,120.586,happy
3JdToGxgvH9SnO1a605Ztr,"Up, Up and Away",['The 5th Dimension'],The 5th Dimension,0.393,0.362,-14.601,0,0.599,0.0,0.515,107.743,happy
7mRak6wBx9OGKXr3zStoHW,Mustang Sally,['Wilson Pickett'],Wilson Pickett,0.76,0.522,-8.088,1,0.0906,3.36e-06,0.551,109.741,happy
7t7VTdIZS01AfR2w2SHb17,Good To You,['Jonny P'],Jonny P,0.789,0.38,-10.662,1,0.358,0.0207,0.702,92.028,happy
6IpxLzChgCbFSJwso2Q84D,Time Is On My Side,['Irma Thomas'],Irma Thomas,0.518,0.622,-8.805,1,0.619,0.00992,0.601,95.958,happy
2WVz9Mtp3E8HCblGiu3nCv,Use Me,['Bill Withers'],Bill Withers,0.748,0.638,-12.028,0,0.0474,0.0014,0.961,154.709,happy
0gtTfaz5zzbJA28Ypu7k0W,Groove Me,['King Floyd'],King Floyd,0.913,0.481,-8.459,1,0.392,7.48e-05,0.878,103.62,happy
1emxi7e5EWFsJmwSKTuUDH,Honey Dove,"['Lee Fields & The Expressions', 'Lee Fields']",Lee Fields & The Expressions,0.487,0.497,-5.776,0,0.124,0.167,0.195,160.317,happy
7gyDV6Y7GmHqQS4KnzI5Zk,Are You Ready to Love Me?,['The War And Treaty'],The War And Treaty,0.533,0.776,-7.092,1,0.151,8.65e-05,0.697,90.061,happy
0PpamSdfQzIAvj5OB9Bz54,Reach Out I'll Be There - Single Version / Mono,['Four Tops'],Four Tops,0.62,0.762,-4.916,0,0.0615,0.0,0.718,119.536,happy
4ZKGarvWsSOruOaw40cFNz,Love That Girl,['Raphael Saadiq'],Raphael Saadiq,0.71,0.674,-5.393,1,0.0136,1.73e-05,0.7,124.033,happy
19jo0UT2vqD4pNVfIqTy4R,River Deep - Mountain High,['Ike & Tina Turner'],Ike & Tina Turner,0.621,0.972,-3.791,1,0.472,0.000585,0.866,155.113,happy
1Q6n0mQqqOCXsUGGKxQmrV,Adonis - Feat. KIRBY,"['Adi Oasis', 'KIRBY']",Adi Oasis,0.491,0.725,-4.915,0,0.0491,1.91e-05,0.761,168.144,happy
0AECVMjxepWdsjDb49JFRd,Tell Me Something Good,"['Rufus', 'Chaka Khan']",Rufus,0.723,0.404,-9.184,1,0.653,0.0,0.796,73.983,happy
4sLYSy4ELZjFq0LbPDj6nh,My Way,['Charlotte Day Wilson'],Charlotte Day Wilson,0.767,0.491,-6.63,1,0.66,0.029,0.385,113.014,happy
5SqHQPdRnsypIJEJNTspWE,Caroline,"['Baby Rose', 'BADBADNOTGOOD', 'Mereba']",Baby Rose,0.51,0.593,-9.058,1,0.633,0.000831,0.417,88.977,happy
2145px2VY14o2Pgr0OIttX,May Ninth,['Khruangbin'],Khruangbin,0.594,0.356,-11.191,0,0.342,0.854,0.544,80.839,happy
3BeaiIXko9QV8689eWB6yd,Stockholmsvy,"['Hannes', 'waterbaby']",Hannes,0.741,0.389,-10.971,1,0.462,0.532,0.742,90.01,happy
7wnj1zRcZVlPNJ58shwl7h,Can I Call You Rose?,['Thee Sacred Souls'],Thee Sacred Souls,0.302,0.4,-8.212,0,0.719,0.000621,0.421,180.852,happy
45EMmryo2aQRD7HMDHlVzj,effort in,['Nina Cobham'],Nina Cobham,0.476,0.364,-9.905,0,0.898,0.0852,0.155,146.133,happy
3XagHd6dQ24vSujx0ADqXK,Blood Milk Moon,['Hermanos Gutiérrez'],Hermanos Gutiérrez,0.683,0.472,-10.75,0,0.747,0.925,0.615,111.778,happy
4J2iXXCHLyyuRTS6rieF0t,Life Is,['Jessica Pratt'],Jessica Pratt,0.675,0.337,-11.926,1,0.749,0.00596,0.378,103.988,happy
5MXegzzvDfUSfwpf8a0FCq,Only One,['Cassandra Jenkins'],Cassandra Jenkins,0.585,0.519,-10.159,1,0.612,0.15,0.486,78.01,happy
4TwFXylgQheM8AUgY00G7C,Low Sun,['Hermanos Gutiérrez'],Hermanos Gutiérrez,0.61,0.478,-11.118,0,0.88,0.906,0.484,97.736,happy
3ScfduFQvLS1zsqnxZkazU,canine teeth,"['Orchid Mantis', 'Fog Lake']",Orchid Mantis,0.506,0.546,-11.324,1,0.881,0.892,0.627,149.963,happy
3gNmgzx1vOFcsA5UmIULgn,Chamber Of Reflection - live stream 5/19/23,['Rich'],Rich,0.275,0.0784,-13.904,0,0.968,6.55e-05,0.225,63.211,happy
0Hz3Bf0SjlKlqYvIwH9a70,Holiday House,['Beach House'],Beach House,0.404,0.669,-7.56,1,0.481,0.95,0.0961,133.833,happy
6mR8WKU0eHUrhn8SvJAsqa,Bubba,['Hovvdy'],Hovvdy,0.643,0.529,-12.087,1,0.94,0.0325,0.351,115.054,happy
6mN1BAzH2eM6Plt40q4BYf,Astray,"['CRi', 'Half Moon Run']",CRi,0.68,0.708,-8.528,1,0.14,0.0595,0.441,118.001,happy
5W3ut9fKvknIV1TCzUl2Lo,SummerBrain,['Moon Panda'],Moon Panda,0.718,0.443,-9.118,0,0.599,0.124,0.45,72.983,happy
5mJN7OPMym5RU7iODPV7SL,paralyzed,['Souly Had'],Souly Had,0.661,0.331,-9.482,1,0.851,0.0,0.569,81.563,happy
55BCpfZp7sVgGBzBlGW5f0,Sonido Cósmico,['Hermanos Gutiérrez'],Hermanos Gutiérrez,0.428,0.413,-12.79,0,0.942,0.907,0.221,64.541,happy
2Y2nA9IKV1wFPNdzQe116n,Excalibur,['Good Morning'],Good Morning,0.721,0.553,-9.633,1,0.881,0.0108,0.593,107.735,happy
0xuecKhU77GCzBIcrQJIU1,Overpowering,['Benét'],Benét,0.641,0.579,-5.895,0,0.0779,0.0015,0.557,82.0,happy
49FHYvCtxzbtvEVZqHOBHE,Pool,['Far Caspian'],Far Caspian,0.608,0.502,-7.961,1,0.819,0.841,0.118,135.514,happy
66U7274Oapr417BNqeQLoS,Icy Windy Sky,['Ugly (UK)'],Ugly (UK),0.395,0.632,-8.495,0,0.145,0.00572,0.504,101.445,happy
5IMlULsFntQDQrCrvRpXFd,Falling Down,['Puma Blue'],Puma Blue,0.582,0.421,-11.45,0,0.694,0.159,0.253,81.92,happy
55cSt1DAB1fm4YMsD54rN3,Crushed Velvet,"['Molly Lewis', 'Thee Sacred Souls']",Molly Lewis,0.392,0.37,-11.436,0,0.183,0.891,0.279,140.576,happy
5MhMXTuVODDF234VDvSxQx,Awake,['Tycho'],Tycho,0.552,0.877,-5.765,1,0.0585,0.899,0.597,176.05,happy
0MzrzzeC7IvFk1J9DFdu4d,One Last Dance,"['Baby Rose', 'BADBADNOTGOOD']",Baby Rose,0.453,0.398,-10.708,1,0.839,0.0424,0.407,82.905,happy
58G48t6eicC81u3W2OHFeq,Little Monk (feat. Karriem Riggins),"['The South Hill Experiment', 'Karriem Riggins']",The South Hill Experiment,0.622,0.591,-8.91,1,0.381,0.86,0.518,167.726,happy
1acVBP8BcK6LTeNeFjfxnh,seasons,['wave to earth'],wave to earth,0.333,0.275,-10.638,1,0.78,0.0587,0.16,59.157,happy
6r3lH9rMcwCDdx2SgcGRiH,Bog Song,['Holy Wave'],Holy Wave,0.491,0.535,-7.924,1,0.636,0.477,0.148,144.098,happy
15clT8j9S3OjjhjGqsoVZv,my forever,"['Orchid Mantis', 'Jordana']",Orchid Mantis,0.622,0.206,-17.706,1,0.985,0.65,0.195,144.0,happy
4AxMrysTzBOsFg94g3H7Mh,Summer Rain,['Olive Jones'],Olive Jones,0.613,0.62,-8.11,0,0.657,0.0403,0.493,137.788,happy
1pxV36wX49w3PAcv8etdRU,Jealous,['Johnny Yukon'],Johnny Yukon,0.676,0.505,-6.557,0,0.0203,0.0337,0.944,175.915,happy
02bspNI1gmunfBI8u0xP95,Thanks,['Teethe'],Teethe,0.528,0.31,-12.608,1,0.629,0.891,0.346,100.05,happy
01MVoX9EYvKaj8WSpZRG5O,Aruarian Dance (interlude),['Kapa Boy'],Kapa Boy,0.704,0.0724,-21.21,1,0.974,0.94,0.341,81.969,happy
5LQqxkVZnA5kvbzHOMFjde,Jag vill ha allt,['Dina Ögon'],Dina Ögon,0.576,0.616,-6.672,1,0.519,0.00542,0.501,91.112,happy
2s5bAoQpITfCJiX5LRBx60,Lullaby,['Britti'],Britti,0.577,0.379,-8.811,1,0.114,0.00727,0.276,109.147,happy
1sibZ12UhxsG33aQgcXYCp,A Promise,['Meernaa'],Meernaa,0.584,0.587,-6.587,1,0.667,0.0696,0.401,101.4,happy
7LTovppsXm7ncfRF0lA6q8,Don't Want A Love Song,['Bryant Barnes'],Bryant Barnes,0.669,0.39,-9.997,0,0.823,0.0,0.325,160.067,happy
2mKz0wGscPw1xnTvrTlQUi,Orange Blood,['Mt. Joy'],Mt. Joy,0.712,0.53,-9.842,0,0.66,0.512,0.496,118.994,happy
2raaAIwNBB924qU7Cp3NLx,Stay,['Galdive'],Galdive,0.722,0.433,-6.406,0,0.279,0.00362,0.65,150.027,happy
06oSt0nOjewappkOBrsFME,Kimosabè,['DOPE LEMON'],DOPE LEMON,0.639,0.595,-7.948,0,0.101,0.0024,0.87,176.198,happy
7sm7RkEXLx4IFvvbw8h5rC,I Think I Lost My Number Can I Have Yours?,['milk.'],milk.,0.477,0.593,-8.515,1,0.0329,0.000482,0.272,75.002,happy
1nPXBgflWZSAomAon6i7qw,Alone in My Room,['Lamp'],Lamp,0.364,0.165,-12.12,1,0.933,0.144,0.0866,120.308,happy
76RL8thD70xxFC3uUwggiG,Imán,['Mica Sotera'],Mica Sotera,0.716,0.437,-9.176,1,0.626,0.0,0.637,149.981,happy
1PSgxaEuyipWKRHoqsrqge,60's Baby. (feat. Madeline The Person & thekid.ACE),"['Kidsnot$aints.', 'Madeline The Person', 'thekid.ACE']",Kidsnot$aints.,0.415,0.266,-13.077,1,0.816,0.00513,0.269,175.382,happy
483Jj7XXbE0E1mHCxFAYLT,medicine,['Jackson Lundy'],Jackson Lundy,0.844,0.198,-10.367,1,0.909,0.000155,0.537,109.031,happy
326EM9zAMPmr1JkGtzHnH6,Candlelight - Spotify Singles,['落日飛車 Sunset Rollercoaster'],落日飛車 Sunset Rollercoaster,0.702,0.258,-9.123,0,0.955,0.00324,0.208,140.93,happy
1GTC0DN9LGOdP0NdvoHyX7,ゆめうつつ,['Lamp'],Lamp,0.346,0.126,-16.89,1,0.985,0.463,0.0761,92.959,happy
4qG7hWhljsqqENL5PaLA2z,Let The Light In (feat. Father John Misty),"['Lana Del Rey', 'Father John Misty']",Lana Del Rey,0.335,0.44,-9.748,1,0.385,0.00251,0.198,132.449,happy
7AyjVbkONi9ENQOyorxsIT,Terms & Conditions,['Vacations'],Vacations,0.489,0.378,-11.451,1,0.866,0.466,0.347,109.845,happy
5R4tnsOeQ3vkfOwrbEHqDY,BAGELS,['BENEE'],BENEE,0.221,0.443,-14.569,1,0.932,0.919,0.0527,188.085,happy
3dRNtsuVKk0gbmUCW41eCz,In My Baby's Arms,['The California Honeydrops'],The California Honeydrops,0.69,0.509,-8.589,1,0.577,2.42e-05,0.797,126.129,happy
4pL6ttMaK39bVEvGhDTOmE,Floating,['LANKS'],LANKS,0.589,0.677,-11.292,0,0.132,0.0824,0.114,116.033,happy
53XX6aX3DurJGTYWtsu4VO,How Far We've Come,['Palace'],Palace,0.568,0.439,-9.455,1,0.121,0.0392,0.4,140.235,happy
3boC2M1D82RuRJhUOkSHtg,Answering Machine,['Ruby Haunt'],Ruby Haunt,0.582,0.269,-16.127,1,0.83,0.869,0.0419,119.93,happy
1kr0XkYcWe2HTuCFN3BuGA,House Song,['Searows'],Searows,0.293,0.131,-18.658,1,0.886,0.14,0.123,78.885,happy
2iuvXuZBXHjonFFqMWMb0m,Phlegm,['Mindchatter'],Mindchatter,0.554,0.195,-13.345,1,0.967,0.000221,0.357,137.848,happy
5Co74QMPtwQU8LFS0zwRpL,SANCTUARY,['((( O )))'],((( O ))),0.726,0.469,-8.194,0,0.72,0.143,0.331,126.092,happy
6lVMcnULyl94wDrZ2HAuCT,Open My Door,['Alice Phoebe Lou'],Alice Phoebe Lou,0.498,0.499,-6.681,1,0.264,0.000605,0.559,144.84,happy
5BhlE0di2Qeey289ECk9IF,Sailing,['Benny Sings'],Benny Sings,0.781,0.444,-8.507,1,0.279,0.261,0.419,81.998,happy
0Ef4S1O05TaWmzz8hm7mvD,Monkey's Wedding,['Nick Leng'],Nick Leng,0.772,0.574,-13.242,0,0.881,0.000975,0.695,127.93,happy
