track_names,first_artists,lyrics
I've Got a Woman,Ray Charles,"37 ContributorsI’ve Got a Woman Lyrics
Well

I got a woman, way over town
That's good to me, oh yeah
Say I got a woman, way over town
Good to me, oh yeah
She give me money when I'm in need
Yeah, she's a kind of friend indeed
I got a woman, way over town
That's good to me, oh yeah

She saves her lovin', early in the mornin'
Just for me, oh yeah
She saves her lovin', early in the mornin'
Just for me, oh yeah
She saves her lovin', just for me
Aah, she love me, so tenderly
I got a woman, way over town
That's good to me, oh yeah


She's there to love me
Both day and night
Never grumbles or fusses
Always treats me right
Never runnin' in the streets
And leavin' me alone
She knows a woman's place
Is right there, now, in her home
You might also like
I got a woman, way over town
That's good to me, oh yeah
Say I got a woman, way over town
That's good to me, oh yeah
Oh she's my baby, oh don't you understand
Yeah, and I'm her lover man
I got a woman, way over town
That's good to me, oh yeah

Oh, don't you know she's all right
Oh, don't you know she's all right
She's all right, she's all right
Whoa yeah, oh yeah, oh yeah5Embed"
Under the Boardwalk,The Drifters,"17 ContributorsUnder the Boardwalk Lyrics
Oh, when the sun beats down
And burns the tar up on the roof
And your shoes get so hot
You wish your tired feet were fireproof
Under the boardwalk
Down by the sea
On a blanket with my baby
Is where I'll be

(Under the boardwalk) Out of the sun
(Under the boardwalk) We'll be havin' some fun
(Under the boardwalk) People walking above
(Under the boardwalk) We'll be making love
Under the boardwalk, boardwalk

From the park you hear
The happy sound of a carousel
Mmm, you can almost taste
The hot dogs and French fries they sell
Under the boardwalk
Down by the sea, yeah
On a blanket with my baby
Is where I'll be
See The Drifters LiveGet tickets as low as $58You might also like
(Under the boardwalk) Out of the sun
(Under the boardwalk) We'll be havin' some fun
(Under the boardwalk) People walking above
(Under the boardwalk) We'll be making love
Under the boardwalk, boardwalk

Oh, under the boardwalk
Down by the sea, yeah
On a blanket with my baby
Is where I'll be

(Under the boardwalk) Out of the sun
(Under the boardwalk) We'll be havin' some fun
(Under the boardwalk) People walking above
(Under the boardwalk) We'll be falling in love
Under the boardwalk, boardwalk5Embed"
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,"24 Contributors(You Make Me Feel Like) A Natural Woman Lyrics
Looking out on the morning rain
I used to feel so uninspired
And when I knew I had to face another day
Lord, it made me feel so tired

Before the day I met you, life was so unkind
But you're the key to my peace of mind

'Cause you make me feel, you make me feel
You make me feel like a natural woman (Woman)

When my soul was in the lost and found
You came along to claim it
I didn't know just what was wrong with me
'Til your kiss helped me name it

Now I'm no longer doubtful of what I'm living for
And if I make you happy, I don't need to do more

'Cause you make me feel, you make me feel
You make me feel like a natural woman (Woman)
You might also like
Oh, baby, what you've done to me? (What you've done to me?)
You made me feel so good inside (Good inside)
And I just wanna be (Wanna be)
Close to you, you make me feel so alive

You make me feel, you make me feel
You make me feel like a natural woman (Woman)
You make me feel, you make me feel
You make me feel like a natural woman (Woman)

You make me feel, you make me feel
You make me feel like a natural woman6Embed"
Love Train,The O'Jays,"30 ContributorsLove Train Lyrics
People all over the world (Hit by it)
Join hands (Join)
Start a love train (You)
Love train (And you)
People all over the world (All over, nah)
Join hands (Love right)
Start a love train (Love right)
Love train

The next stop that we make will be England
Tell all the folks in Russia, and China, too
Don't you know that it's time to get on board?
And let this train keep on riding, riding on through
(Well, well)

People all over the world (We don't need nobody)
Join hands (Come on)
Start a love train (Don't need)
Love train (Take it, come on)
People all over the world (Right)
Join hands (Ride this train, y'all)
Start a love train (Come on)
Love train
You might also like
All of you brothers over in Africa
Tell all the folks in Egypt, and Israel, too
Please don't miss this train at the station
'Cause if you miss it, I feel sorry, sorry for you
(Well)

People all over the world (Sisters and Brothers)
Join hands (Join, come on)
Start a love train (Ride this train)
Love train (Come on, love train)
People all over the world (Don't need no tickets)
Join hands (Come on, ride)
Start a love train (Ride)
Love train (Ride)

Ride
Let it ride
Let it ride
Let it ride
People, ain't no war

People all over the world (This train)
Join hands (Ride the train)
Start a love train (Yeah)
Love train (Come to Japan, y'all)
People all over the world (Come on)
Join hands (You should be glad to stand)
Start a love train (Yeah)
Love train (Making love)
People all over the world ('Round the world, y'all)
Join hands (Come on)
Start a love train (Goin' over and meet ya)
Love train
People all over the world (Ride)
Join hands (Come on and meet y'all)
Start a love train (Ride)
Love train (All over the world)
People all over the world (Come on, love train)
Join hands
Start a love train (Yeah)
Love train (Get on)
People all over the world
Join hands4Embed"
When a Man Loves a Woman,Percy Sledge,"25 ContributorsWhen a Man Loves a Woman LyricsWhen a man loves a woman
Can't keep his mind on nothin' else
He'd change the world for the good thing he's found
If she is bad, he can't see it
She can do no wrong
Turn his back on his best friend if he put her down
When a man loves a woman
He'll spend his very last dime
Tryin' to hold on to what he needs
He'd give up all his comforts
And sleep out in the rain
If she said that's the way
It ought to be
Well, this man loves you, woman
I gave you everything I had
Tryin' to hold on to your heartless love
Baby, please don't treat me bad
When a man loves a woman
Down deep in his soul
She can bring him such misery
If she is playin' him for a fool
He's the last one to know
Lovin' eyes can never see
You might also likeWhen a man loves a woman
He can do her no wrong
He can never want
Some other girl
Yes when a man loves a woman
I know exactly how he feels
Cause baby, baby, you're my world
When a man loves a woman...6Embed"
Son of a Preacher Man,Dusty Springfield,"37 ContributorsSon of a Preacher Man Lyrics
Billy-Ray was a preacher's son
And when his daddy would visit, he'd come along
When they gathered 'round and started talkin'
That's when Billy would take me walkin'
Out through the back yard, we'd go walkin'
Then he'd look into my eyes
Lord knows, to my surprise

The only one who could ever reach me
Was the son of a preacher man
The only boy who could ever teach me
Was the son of a preacher man
Yes, he was, he was
Ooh, yes, he was

Being good isn't always easy
No matter how hard I try
When he started sweet-talkin' to me
He'd come and tell me everything is alright
He'd kiss and tell me everything is alright
Can I get away again tonight?

The only one who could ever reach me
Was the son of a preacher man
The only boy who could ever teach me
Was the son of a preacher man
Yes, he was (Was), he was (Was)
(Ooh) Lord knows he was
(Yes, he was)
You might also like
How well I remember
The look that was in his eyes
Stealin' kisses from me on the sly
Takin' time to make time
Tellin' me that he's all mine
Learnin' from each other's knowin'
Lookin' to see how much we've grown and

The only one who could ever reach me
Was the son of a preacher man
The only boy who could ever teach me
Was the son of a preacher man
Yes, he was (Was), he was (Was)
Oh, yes, he was

(The only one who could ever reach me)
He was the sweet-talkin' son of a preacher man
(The only boy who could ever teach me)
I kissed the son of a preacher man
(The only one who could ever move me)
The sweet-lovin' son of a preacher man
(The only one who could ever groove me)
Was the son of a preacher man
(The only one who could ever reach me)
Was the son of a preacher man5Embed"
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,"13 ContributorsThis Old Heart of Mine (Is Weak for You) Lyrics
Ooh, this old heart of mine been broke a thousand times
Each time you break away, I fear you've gone to stay
Lonely nights that come, memories that flow
Bringing you back again, hurting me more and more

Maybe it's my mistake to show this love I feel inside
'Cause each day that passes by
You got me never knowing if I'm coming or going

But I, I love you
This old heart, darling, is weak for you
I love you, yes, I do
(Yes, I do, yes, I do)

These old arms of mine miss having you around
Makes these tears inside start pouring down

Always with half a kiss, you remind me of what I miss
Though I try to control myself
Like a fool I start grinnin'
'Cause my head starts spinnin'
You might also like
'Cause I, I love you
This old heart, darling, is weak for you
I love you, yes I do, yes I do

Ooh, I try hard to hide my hurt inside
This old heart of mine always keeps me cryin'
The way you treat me leaves me incomplete
You're here for the day, gone for the week now

But if you leave me a hundred times
A hundred times I'll take you back
I'm yours whenever you want me
I'm not too proud to shout it
Tell the world about it

'Cause I, I love you
This old heart, darling, is weak for you
I love you
This old heart, darling, is weak for you (Darling, I'm)
I love you (Weak for you)
This old heart (Darling, I'm), darling, is weak for you (Mad about you)
(Darling, I'm) I love you (Weak for you)
Yes, I do (Darling, I'm), yes, I do (Mad about you)
(Darling, I'm) I love you (Weak for you)
Yes, I do (Darling, I'm), darling (Mad about you)1Embed"
I'll Take You There,The Staple Singers,"25 ContributorsI’ll Take You There LyricsOh, mmm..
I know a place
Ain't nobody cryin', ain't nobody worried
Ain't no smilin' faces, mmm, naw, naw
Lyin' to the races
Help me, come on, come on
Somebody help me now
(I'll take you there)
Help me, y'all
(I'll take you there)
Help me now
(I'll take you there)
Oh!
(I'll take you there)
Oh, oh! mercy
(I'll take you there)
Oh, let me take you there!
(I'll take you there)
Oh, oh, let me take you there!
(I'll take you there)
Play your, play your, play, play
Play your, play your piano now
Alright, ah, do it, do it, come on now
Play on it, play on it, big daddy now
Daddy, daddy, daddy, play your
You might also likeOoh, Lord, alright now
Baby, little Davey, easy now, help me out
Come on, little Davey, alright
Sock it, sock it, ah, oh, ah
I know a place, y'all
(I'll take you there)
Ain't nobody cryin'
(I'll take you there)
Ain't nobody worried
(I'll take you there)
No smilin' faces
(I'll take you there)
Uh uh
(Lyin' to the races)
(I'll take you there)
Oh, no
Oh!
(I'll take you there)
Oh, oh, oh!
(I'll take you there)
Mercy now!
(I'll take you there)
I'm callin', callin', callin' for mercy!
(I'll take you there)
Mercy, mercy!
(I'll take you there)
Let me
(I'll take you there)
Oh, oh!
I'll take you there
(I'll take you there)
Oh, I wanna take you there
(I'll take you there)
Just take me by the hand, let me
(I'll take you there)
Let me, let me, let me, let me lead, lead the way
Oh!
(I'll take you there)
Let me take you there!
(I'll take you there)
Let me take you there!
(I'll take you there)
Ain't no smilin' faces!
(I'll take you there)
Up in here, lyin' to the races!
(I'll take you there)
You oughta, you gotta, gotta, gotta let me, let me!
(I'll take you there)
Take you, take you, take you over there!
(I'll take you there)
Ooh, oh, oh! Alright
(I'll take you there)
Oh, alright!
(I'll take you there)
Oh, oh!
(I'll take you there)
Ah, oh yeah
(I'll take you there)
Oh yeah
(I'll take you there)
Let me lead the way
(I'll take you there)
Let me, let me, let me lead the way
(I'll take you there)
(I'll take you there)
Oh, mmm
(I'll take you there)
You won't have to pay, oh, oh no2Embed"
Higher Ground,Stevie Wonder,"30 ContributorsHigher Ground Lyrics
People keep on learning
Soldiers keep on warring
World keep on turning
'Cause it won't be too long

Powers keep on lying
While your people keep on dying
World keep on turning
'Cause it won't be too long

I'm so darn glad He let me try it again
'Cause my last time on earth, I lived a whole world of sin
I'm so glad that I know more than I knew then
Going to keep on trying
'Til I reach my highest ground

Teachers keep on teaching
Preachers keep on preaching
World keep on turning
'Cause it won't be too long
Oh, no
You might also like
Lovers keep on loving
Believers keep on believing
Sleepers, just stop sleeping
'Cause it won't be too long
Oh, no

I'm so glad that He let me try it again
'Cause my last time on earth, I lived a whole world of sin
I'm so glad that I know more than I knew then
Going to keep on trying
'Til I reach my highest ground
Woo

'Til I reach my highest ground
No one's going to bring me down
Oh, no
'Til I reach my highest ground
Don't you let nobody bring you down (They'll sho 'nuff try)
God is gonna show you highest ground
He's the only friend you'll have around
'Cause the rest of the world will bring you down7Embed"
Ain't Nobody,Chaka Khan,"10 ContributorsAin’t Nobody LyricsCaptured effortlessly
That's the way it was
Happened so naturally
I did not know it was love
The next thing I felt was you
Holding me close
What was I gonna do?
I let myself go
And now we're flyin' through the stars
I hope this night will last forever
I've been waitin' for you
It's been so long
I knew just what I would do
When I heard your song
Filled my heart with your bliss
Gave me freedom
You knew I could not resist
I needed someone
And now we're flyin' through the stars
I hope this night will last forever
Oh oh oh oh
Ain't nobody
Loves me better
Makes me happy
Makes me feel this way
Ain't nobody
Loves me better than you
See Chaka Khan LiveGet tickets as low as $39You might also likeI wait for night time to come
And bring you to me
I can't believe I'm the one
I was so lonely
I feel like no one could feel
I must be dreamin'
I want this dream to be real
I need this feelin'
I make my wish upon a star
And hope this night will last forever
Oh oh oh oh
Ain't nobody
Loves me better
Makes me happy
Makes me feel this way
Ain't nobody
Loves me better than you
First you put your arms around me
Then you put your charms around me
I can't resist this sweet surrender
Oh my nights are warm and tender
We stare into each other's eyes
And what we see is no surprise
Got a feeling most would treasure
And a love so deep we cannot measure
Ain't nobody
Loves me better
Makes me happy
Makes me feel this way
Ain't nobody
Loves me better than youEmbed"
I'll Be Around,The Spinners,"24 ContributorsI’ll Be Around Lyrics
This is our fork in the road
Love's last episode
There's nowhere to go, oh no
You made your choice
Now it's up to me
To bow out gracefully
Though you hold the key, but baby

Whenever you call me, I'll be there
Whenever you want me, I'll be there
Whenever you need me, I'll be there
I'll be around

I knew just what to say
Now I found out today
That all the words had slipped away, but I know
There's always a chance
A tiny spark will remain, yeah
And sparks turn into flames
And love can burn once again, but I know you know

Whenever you call me, I'll be there
Whenever you want me, I'll be there
Whenever you need me, I'll be there
I'll be around, yeah
You might also like

Whenever you call me, I'll be there
Whenever you want me, I'll be there
Even if I have to crawl, I'll be there
I'll be around
Just call me on the phone, I'll be there
I'll never leave you alone, I'll be there
Just call out your name, I know I know you know
I'll be around
I'll be skippin' and a-jumpin', I'll be there
I'll be a-rippin' and a-runnin', I'll be there
I'll be calling out your name to let you know
I'll be around
Oh, oh, baby5Embed"
(What A) Wonderful World,Sam Cooke,"1 ContributorWonderful World Lyrics1, 2, 3, Sam Back again
I would really wanna know what's happening
I don't wanna be on Mother Earth no more
Cause Mister Dobalina left her raped and sore
All I see is grey up in this thang
And all I want is paint the world green again
Who has the right to prevent me from tokin' and coughin'
And everytime I see a tree, I ain't recognize nothin'
It's the beauty in so many things that I don't see
Because I'm blind from technology, we think is pretty
So I need to change my priority that I think of
To gather Gratitude, Indo, Nature and Love
And try to make everybody understand and see
What a wonderful World this could be...
1 ,2, 3, Back to the Intention
Of Mr. Sam Cooke I ain't forget to mention
Don't know much about History and though I want to rest
I have to learn it, cause tomorrow we are gonna write a test
And I'm not interested in the subject, because the past
Is something, not like the presence, that is not gonna last
You can't live reminiscing or else your memories will change ya
Not in a good way, they will rather fool and derange ya
Focus on your focus, and focus not on distractions
Your goal is way better than all their little attractions
Be strong and courageous, Be patient, Stay optimistic
And after a while, you gon' see the lights in the distant
But talk is cheap, I wish It was that easy
What a wonderful World this would be...You might also likeEmbed"
Drift Away - Single Version,Dobie Gray,"2 ContributorsDrift Away - Single Version LyricsDay after day I'm more confused
Yet I look for the light through the pouring rain
You know that's a game that I hate to lose
And I'm feelin' the strain
Ain't it a shame
Oh, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Oh, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Beginning to think that I'm wastin' time
I don't understand the things I do
The world outside looks so unkind
And I'm countin' on you
To carry me through
Oh, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Yeah, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
And when my mind is free
You know a melody can move me
And when I'm feelin' blue
The guitar's comin' through to soothe me
You might also likeThanks for the joy that you've given me
I want you to know I believe in your song
And rhythm and rhyme and harmony
You've helped me along
Makin' me strong
Oh, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Oh, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Hey, give me the beat boys and free my soul
I wanna get lost in your rock and roll and drift away
Na na na, won't you, won't you take me
Oh, take meEmbed"
