ID,Title,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Mode,Tempo,Valence,Mood
25nzKGDiua1lE9Qo5V19GL,Young Blood,5.63e-05,0.579,0.865,0.000221,-4.692,1,104.99,0.358,happy
6KNV6L3b7beomEUnzWgw0X,Ride or Die,0.375,0.607,0.629,0.0806,-10.509,1,101.974,0.688,happy
7FAFkQQZFeNwOFzTrSDFIh,The Spins,0.0135,0.794,0.766,0,-3.894,0,127.006,0.55,happy
6gTrbqZnyljwXdYQTyBkSx,You Make Me Feel Like Dancing - Remastered,0.0848,0.728,0.718,0,-5.281,0,95.922,0.733,happy
2yBVeksU2EtrPJbTu4ZslK,What a Fool Believes,0.284,0.758,0.378,0,-15.308,0,120.736,0.985,happy
2OyaNAq8BcGstyzueloqpE,Too Late To Turn Back Now,0.344,0.516,0.73,0,-7.136,1,115.126,0.907,happy
1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,0.00509,0.611,0.846,0,-5.9,1,103.912,0.751,happy
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,0.382,0.414,0.428,0.000243,-11.097,1,145.075,0.282,happy
1Rweq7vNjK4kZBbGrmxQsl,bye,0.204,0.606,0.645,0,-4.835,0,110.016,0.453,sad
326EM9zAMPmr1JkGtzHnH6,Candlelight - Spotify Singles,0.955,0.702,0.258,0.00324,-9.123,0,140.93,0.208,happy
5SN3mwuodiwY3jPejBuUD5,Crash My Car,0.00178,0.244,0.646,0.00483,-5.863,1,183.571,0.529,happy
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,0.0115,0.527,0.942,0,-5.64,0,148.723,0.495,happy
4TBBPZks71c60whhq0PgdP,(Your Love Keeps Lifting Me) Higher & Higher,0.176,0.631,0.69,0,-6.676,1,94.574,0.938,happy
3v8PlUFGQQDBIk1J86waCo,Should I Stay or Should I Go - Remastered,0.0832,0.742,0.838,0,-6.442,1,113.373,0.848,happy
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,0.258,0.73,0.487,0.01,-10.991,1,114.965,0.731,happy
7bSlafYF33JHLoB9NtsL9V,Look At Us Now (Honeycomb),0.00942,0.323,0.761,0.000586,-6.143,1,141.282,0.466,happy
3Ti0GdlrotgwsAVBBugv0I,Can I Kick It?,0.173,0.848,0.666,0.000699,-6.547,1,96.662,0.744,happy
5HCF5NaxKCb0CniAsqvzAE,Ceviche,0.18,0.581,0.847,0.115,-7.209,0,124.914,0.497,happy
7mnGQesk1TzQLzQ9bYWZPR,She's so High,0.2,0.537,0.84,2.15e-06,-4.626,1,124.269,0.211,happy
22HkJCoxlrEoc27tloXvl4,In My Baby's Arms,0.577,0.69,0.509,2.42e-05,-8.589,1,126.129,0.797,happy
5hFVuHDVUqR9FvVnHFoLLo,Sunset,0.185,0.736,0.818,0.00284,-5.919,1,98.044,0.863,happy
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),0.182,0.763,0.782,7.08e-06,-4.541,0,127.034,0.502,happy
22CIOfLZB9z8He7WgHYAgH,Two Tickets to Paradise (2022 Remaster),0.113,0.603,0.627,0.000103,-16.011,1,129.617,0.701,happy
6RtPijgfPKROxEzTHNRiDp,Rude,0.0422,0.773,0.758,0,-4.993,1,144.033,0.925,happy
7FXuCkl1kfxwS5icDjTwbM,Hard to Handle,0.573,0.666,0.55,1.84e-06,-8.672,1,95.552,0.961,happy
2drtd6SptpMJ1KylMQ7mrE,circle the drain,0.303,0.482,0.79,0.00028,-5.221,1,169.064,0.47,happy
2oZmMp5M6L0Rh7G84Um2tF,Chain of Fools,0.221,0.721,0.567,0,-9.516,1,116.643,0.914,happy
2Zo1PcszsT9WQ0ANntJbID,Feather,0.0736,0.791,0.694,1.75e-06,-4.332,0,123.508,0.826,happy
0V8FYVlBFuXXTIvRnMbZyS,The Climb,0.0834,0.327,0.588,0,-6.611,1,161.074,0.329,happy
0i5QVxsK3IvEDbUjTA64Li,Silver Lining,0.00116,0.543,0.616,1.02e-06,-6.53,1,144.216,0.199,happy
7qqrGV5WpQnMKqVTsDZd9J,Buddy's Rendezvous,0.851,0.289,0.324,0.00368,-9.866,1,77.94,0.244,happy
0cx32rX0uZvcJUP92Wkj2y,Wouldn't It Be Nice - Remastered 1999,0.554,0.428,0.544,2.12e-05,-9.139,1,122.622,0.694,happy
3K1RnBxBkrMwoBE8gC63eY,All Ur Luv,0.0892,0.714,0.811,0,-3.69,0,115.0,0.736,happy
5AoTuHE5P5bvC7BBppYnja,Respect - 2003 Remaster,0.0723,0.744,0.611,0.000532,-6.386,1,114.991,0.961,happy
2g2GkH3vZHk4lWzBjgQ6nY,(What A) Wonderful World,0.627,0.691,0.507,0,-10.23,1,128.518,0.885,happy
4ztdjZ2t7BVo5DLIFQBdJh,Jericho,0.528,0.721,0.541,0,-8.924,0,153.919,0.616,happy
3QgOr4aQcudAyJvc3q5K0I,Sunday Highs,0.472,0.635,0.418,0.00687,-12.156,0,134.009,0.094,happy
05QGJav2nGJ9qdQ3vG9A9t,Ask Me,0.0145,0.803,0.935,0.191,-4.915,0,124.008,0.738,happy
1LzNfuep1bnAUR9skqdHCK,Fade Into You,0.247,0.417,0.33,0.000689,-13.925,1,157.113,0.175,sad
6wCv0m87EJ6kYGUi5c0kbG,greedy,0.27,0.752,0.701,0,-3.542,0,111.02,0.836,happy
1OppEieGNdItZbE14gLBEv,You Can't Hurry Love,0.299,0.63,0.711,0,-9.34,1,96.915,0.659,happy
6DIMM15oo3kxnCuVypaYGy,Give Up Baby Go,0.169,0.683,0.697,2.46e-06,-6.703,1,96.729,0.591,happy
1FFUXkoWIc9of8yOscGiaC,Greedy,0.0323,0.619,0.705,0,-5.335,1,109.975,0.844,happy
787Y2idwCU2Rk60Prv4wpr,Saving Up,0.00353,0.747,0.822,0.132,-6.373,0,129.994,0.578,happy
2gTF3yPxvDpW2EAYbOVeIt,JOY (God Only Knows),0.0938,0.48,0.951,0.0139,-3.659,1,131.93,0.61,happy
6898BcNygl1YiW8Fabu5E2,Fever Dream,0.00339,0.56,0.641,0.00598,-7.158,0,81.465,0.588,happy
3LEgGAl9zLcQWGTp7ptqtQ,Don’t Wake Me Up,0.222,0.621,0.747,0.000194,-5.084,1,124.015,0.426,happy
65GbQI9VDTs7vo6MJL2iJA,Coming Home,0.461,0.424,0.465,5.52e-05,-6.595,1,112.418,0.462,happy
5YqdiryRmdAzYFlxo43hAJ,Missing Piece,0.0155,0.628,0.877,5.97e-06,-4.205,1,101.992,0.721,happy
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,0.00255,0.438,0.805,5.69e-05,-6.237,1,113.253,0.564,happy
2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,0.153,0.66,0.68,6.7e-06,-8.18,1,106.187,0.671,happy
7Ep9IjggTVy070hEkaSLIa,He Loves Me Yeah!,0.0606,0.867,0.515,0.0948,-8.821,1,112.036,0.74,happy
1vQWFjEC34DHNXrRTFjDxe,All Night Long,0.174,0.704,0.919,0.00787,-4.142,0,126.044,0.45,happy
3aNxfCcd9EohIxKmcQv1zn,Eternity,0.00261,0.591,0.921,0.00512,-5.572,0,140.063,0.436,happy
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,0.731,0.482,0.721,0,-6.839,1,95.263,0.557,happy
3ZpJQim8bB9FmqkLch1DGV,Carpop,0.129,0.461,0.529,0.465,-12.975,0,150.341,0.158,happy
2MuJbBWAVewREJmB8WdGJ3,It Was A Good Day,0.135,0.78,0.754,0.034,-5.377,0,82.394,0.81,happy
7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,0.0513,0.766,0.478,2.49e-06,-13.487,1,114.02,0.965,happy
2ACOWPLUe4A4KuQ5ioD2od,That's My Girl,0.0358,0.596,0.851,3.19e-05,-4.245,0,202.049,0.612,happy
1QbOvACeYanja5pbnJbAmk,"Take Me Home, Country Roads",0.546,0.38,0.43,1.71e-05,-12.564,1,82.204,0.547,happy
5jEuU57nvKw74sYR9Rcej5,Don't Turn Me Away,0.238,0.508,0.779,4.98e-06,-6.674,1,139.371,0.731,happy
34VDj911PQh8B1BXYoOMLq,Running Away,0.309,0.546,0.646,0.000207,-6.735,1,139.08,0.792,happy
4ZVZBc5xvMyV3WzWktn8i7,Everyday People,0.307,0.807,0.497,0.0327,-10.656,1,114.524,0.765,happy
35ItUJlMtjOQW3SSiTCrrw,Crazy Little Thing Called Love - Remastered 2011,0.714,0.599,0.762,4.43e-06,-6.887,1,76.961,0.715,happy
78WVLOP9pN0G3gRLFy1rAa,Piano Man,0.618,0.334,0.477,4.17e-06,-8.806,1,179.239,0.405,happy
21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,0.225,0.643,0.585,0,-5.994,1,106.015,0.188,happy
7icC0mHYpROmIRhpa2DaFC,The Nightfly,0.34,0.832,0.509,0.000793,-8.918,1,105.986,0.844,happy
5MhMXTuVODDF234VDvSxQx,Awake,0.0585,0.552,0.877,0.899,-5.765,1,176.05,0.597,happy
2kSb3wYSOV996xA2NSmpck,Melting,0.179,0.574,0.479,0.0803,-7.776,1,115.263,0.303,happy
5VSAonaAPhhGn0G7hMYwWK,Sister Golden Hair,0.13,0.441,0.546,0.000144,-12.222,1,134.752,0.718,happy
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,0.44,0.761,0.525,6.7e-06,-6.9,1,80.87,0.531,happy
2ZRQixbe1MCJxpcO96Zj1y,Daft Pretty Boys,0.0475,0.665,0.823,0,-5.686,1,136.992,0.672,happy
7ITzf6TxMKnUwgXfNRfMxI,Perfume,0.000247,0.623,0.788,0.271,-7.777,1,121.974,0.955,happy
3ec1mgb7R6yhRvzp3DaTus,All For Love,0.0616,0.573,0.736,0,-6.882,1,126.014,0.185,happy
5Y67sAjZpir4N0PTBsIogb,You're the Love,0.0561,0.659,0.687,0.00168,-11.976,1,112.947,0.887,happy
7FM0XCpgR3HMZcwjDo2TlI,Love Is the Answer (Single Version),0.199,0.384,0.569,0.000367,-11.974,1,203.105,0.538,happy
0aJrYfARfCKzv6gXjhs4SZ,Upside Down,0.255,0.792,0.647,0.000223,-8.314,1,102.477,0.694,happy
5zVKisBri6JH1fooBhUaVq,Time Passages,0.357,0.694,0.649,0.00258,-7.176,1,111.98,0.603,happy
0fCwTrRNfoNk962ati8n2K,All Your'n,0.408,0.585,0.55,3.97e-05,-7.342,1,78.176,0.839,happy
7fmJGzyvOcbh6UANsH8Cp6,Lisztomania,0.0338,0.64,0.789,0.00388,-6.691,1,97.539,0.311,happy
0ZK8TGOsngrstVPsnrHbK1,Peach Pit,0.00322,0.515,0.804,0.00229,-5.345,0,123.969,0.298,happy
30bPsTvD3ikvd5IvRudsPI,Recycle,0.00403,0.502,0.742,0.569,-6.998,1,155.053,0.547,happy
7LTovppsXm7ncfRF0lA6q8,Don't Want A Love Song,0.823,0.669,0.39,0,-9.997,0,160.067,0.325,sad
40h65HAR8COEoqkMwUUQHu,Peaceful Easy Feeling - 2013 Remaster,0.494,0.568,0.634,0.00281,-12.336,1,142.686,0.866,happy
4oLZSZ3FTrml6ma6sOOMbp,Fair Warning,7.61e-06,0.148,0.98,0.448,-3.5,0,182.347,0.267,happy
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),0.0633,0.722,0.709,0,-4.95,1,81.012,0.604,happy
4pNiE4LCVV74vfIBaUHm1b,Sir Duke,0.16,0.588,0.568,0,-9.766,1,106.938,0.952,happy
6zaayoVlfFp5YmQArKWkRG,playing tricks,0.638,0.67,0.412,1.75e-05,-8.213,0,130.005,0.281,happy
0bhwnn2xqnBUcMZDcXNuII,Hey Lover,0.257,0.48,0.482,0.000239,-11.451,0,128.152,0.685,happy
2N3likJH7vvBvJrUVtqycW,Prefiro Vila Velha,0.00248,0.4,0.869,0.00169,-7.411,0,169.94,0.861,happy
0AECVMjxepWdsjDb49JFRd,Tell Me Something Good,0.653,0.723,0.404,0,-9.184,1,73.983,0.796,happy
6mN1BAzH2eM6Plt40q4BYf,Astray,0.14,0.68,0.708,0.0595,-8.528,1,118.001,0.441,happy
4vziJcnB2Qyi9o4nIRUeN7,Now And Then,0.227,0.447,0.605,5.4e-05,-4.71,0,87.191,0.307,happy
54eZmuggBFJbV7k248bTTt,A Horse with No Name,0.687,0.653,0.507,0.0147,-17.18,0,123.188,0.831,happy
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,0.384,0.527,0.551,2.75e-06,-11.258,1,148.035,0.443,happy
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),0.164,0.574,0.567,0,-7.126,0,75.965,0.526,happy
0xLrMI4R2xTwRHWV3UQCAZ,Rikki Don't Lose That Number,0.824,0.641,0.408,0.0022,-14.971,1,116.436,0.58,happy
24lvdbt9pS7DFEjhEWSl49,You Send Me,0.887,0.558,0.311,0,-9.582,0,95.978,0.415,happy
1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),0.0245,0.739,0.586,0.000252,-5.079,0,124.026,0.444,happy
0I2h9T7HeYjP9yALFN8dJt,How Can This Be Love,0.0801,0.669,0.568,0,-13.139,1,123.786,0.766,happy
3DCU0R5FFaB9GKxZERb5wr,Temper Temper,0.0252,0.713,0.565,3.2e-06,-7.8,0,130.047,0.705,happy
6rovOdp3HgK1DeAMYDzoA7,Maggie May,0.56,0.603,0.574,0.114,-10.536,1,129.42,0.535,happy
5TgEJ62DOzBpGxZ7WRsrqb,Work Song,0.749,0.531,0.363,0,-7.672,1,121.412,0.259,happy
5K09WxKdlkroDyEVyOSySy,(You Make Me Feel Like) A Natural Woman,0.679,0.603,0.271,0,-10.083,1,110.89,0.405,happy
4pAl7FkDMNBsjykPXo91B3,Needed Me,0.11,0.697,0.315,0,-8.091,0,110.872,0.298,sad
6Fe3Flc9SjE03pqwD6PVQl,Amber,0.156,0.663,0.697,0.0224,-9.442,1,166.001,0.744,happy
7vUbFCefkYWl4uSpMManF1,One More Look At The Night,0.37,0.71,0.614,2.39e-06,-9.552,1,120.955,0.91,happy
0rUHnNylp4QiqLOx3hL2EY,Every Day's A Lesson In Humility,0.144,0.413,0.545,0,-7.681,1,181.343,0.513,happy
7ohR0qPH6f2Vuj2pUNanJG,Got To Give It Up - Pt. 1,0.232,0.854,0.847,0.000569,-9.019,1,122.644,0.89,happy
50ZFpw2wS6ERvLmW8TINhq,Beg for You (feat. Rina Sawayama),0.223,0.788,0.945,2.97e-06,-5.091,1,128.036,0.466,happy
2mMU463xwCEiBKJJTlA3tc,"Right Here, for Now",0.0401,0.798,0.581,0,-5.243,1,129.97,0.776,happy
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,0.614,0.529,0.127,0.000133,-16.066,1,63.05,0.579,happy
7jcNMTxgiy9uXEEmUXH6Tt,Open Up My Window,0.481,0.588,0.484,2.96e-06,-10.793,0,77.823,0.402,happy
5QhikAUv91oMAaFnfKz22u,Lowdown (2023 Remaster),0.0747,0.691,0.551,0.104,-12.15,0,116.519,0.938,happy
17mYQ5uVoqY8ykHctLUlJT,Right Before I Go,0.0048,0.315,0.93,0.878,-8.08,1,114.527,0.142,happy
49uLH3xvQLd4I4pCQacGH8,Love from the Other Side,0.492,0.81,0.481,0.0696,-8.914,0,114.995,0.561,happy
2f2dRxjiUOoV5qhZFbnVO6,Rule The World (Everybody),0.031,0.627,0.998,0.0219,-1.699,0,127.975,0.157,happy
5QPRZdajTSKbdUERR8zvWB,Living In A Haze - feat. The Beaches,0.317,0.662,0.772,0,-4.79,1,129.895,0.417,happy
7e0LOBvgnz3Rnu20gUKOeh,Again,0.241,0.666,0.669,0.00023,-7.978,0,89.978,0.818,happy
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,0.0645,0.95,0.891,1.77e-05,-2.653,1,133.01,0.912,happy
1YrY0vjHWp672gt0crtj5A,End Of An Era,0.116,0.661,0.818,0,-5.814,1,117.045,0.772,happy
43MifzVnh8W3jJN0xqU9jR,Wasted Summers,0.106,0.633,0.643,0.00831,-8.122,1,103.842,0.472,happy
1E2qsauY482zvIjHEI8EaX,Bubba,0.942,0.644,0.532,0.0191,-12.032,1,115.067,0.366,happy
0Lpehb4R7VcfpxRpol1s91,Drunk (And I Don't Wanna Go Home),0.00602,0.613,0.881,0,-4.59,1,119.98,0.631,happy
3GBApU0NuzH4hKZq4NOSdA,What You Know,0.00073,0.563,0.739,1.45e-05,-4.239,0,139.0,0.775,happy
6LzjgzpVl0hB3YrBU1b8Z1,The Boss,0.579,0.736,0.354,0.0103,-14.709,1,97.924,0.62,happy
6HnGsS6ovVsC6dLB3CtxYh,Help Is On Its Way - Remastered 2022,0.046,0.632,0.65,7.37e-06,-6.59,1,106.733,0.625,happy
5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",0.792,0.696,0.547,0,-5.954,0,73.203,0.623,happy
6yW6Q8ZPgDBQA1yHWL4Jmh,Mas Que Nada,0.129,0.743,0.946,0.864,-5.023,1,123.974,0.514,happy
2mKz0wGscPw1xnTvrTlQUi,Orange Blood,0.66,0.712,0.53,0.512,-9.842,0,118.994,0.496,happy
0ToG55iJZCOzZkcpWbXxpW,Vampire Empire,0.287,0.636,0.572,0,-7.797,1,131.272,0.66,sad
65leXqfkdViSssEVN23uYL,Mama's Boy,0.15,0.807,0.354,0.713,-7.554,1,78.964,0.602,happy
3iGySa8gM6bowH2BXouK9A,Wrong Orange County,0.00251,0.447,0.954,0.856,-2.239,0,146.006,0.812,happy
3SdTKo2uVsxFblQjpScoHy,Stand By Me,0.57,0.65,0.306,7.07e-06,-9.443,1,118.068,0.605,happy
1GL7vwDnPqCnJ2xGNxNLwG,These Nights,0.00444,0.643,0.714,2.85e-06,-5.504,0,120.027,0.205,happy
21lFRFkdf5sgITNZCDMeDq,Don't Fade Away,0.000701,0.64,0.868,0.342,-8.323,0,128.031,0.96,happy
5yPEJ4UF90Km4KmLl2h4EE,All You Need Is Love,0.0422,0.712,0.796,1.44e-05,-6.325,1,125.994,0.605,happy
5tVA6TkbaAH9QMITTQRrNv,Free Fallin',0.212,0.623,0.449,0,-13.333,1,84.383,0.573,happy
1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),0.022,0.592,0.729,0,-4.156,1,116.03,0.709,happy
7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,0.149,0.729,0.844,2.87e-06,-8.824,1,131.459,0.777,happy
6XbA5gVGJlza8v7ebAbUZ1,I'm a Camera,0.124,0.683,0.461,0.00134,-15.675,1,107.802,0.797,happy
5mHdCZtVyb4DcJw8799hZp,Escapism.,0.138,0.538,0.742,4.67e-05,-5.355,1,96.107,0.25,happy
7gaA3wERFkFkgivjwbSvkG,"yes, and?",0.19,0.787,0.775,6.54e-05,-6.614,1,118.998,0.787,happy
62102D1yfhWdzW39Vj06FR,Dopamine (feat. Eyelar),0.0518,0.691,0.806,0,-5.392,0,117.971,0.873,happy
2LxdNADWier3MKTei8FbOY,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),0.0577,0.686,0.892,7.11e-06,-3.186,0,126.03,0.752,happy
4hXc50b59ywx8cdg9KlHCQ,Kiss The Ground,0.00265,0.688,0.503,0.00435,-9.614,1,75.042,0.574,happy
3JvrhDOgAt6p7K8mDyZwRd,Riptide,0.431,0.484,0.731,0,-6.694,1,101.654,0.51,happy
241RmK77gecJ1y7jOoQ5lu,This Will Be (An Everlasting Love) - 2003 Remaster,0.185,0.682,0.605,0.00326,-10.771,1,125.96,0.914,happy
6Qb7YsAqH4wWFUMbGsCpap,Training Season,0.0349,0.812,0.587,2.64e-06,-4.483,0,123.041,0.664,happy
4hObp5bmIJ3PP3cKA9K9GY,Don't Worry Be Happy,0.88,0.675,0.166,7.14e-05,-22.602,1,68.837,0.747,happy
4TwFXylgQheM8AUgY00G7C,Low Sun,0.88,0.61,0.478,0.906,-11.118,0,97.736,0.484,happy
5JWPUEov2wlX7c0jhYZpeB,Lost In Yesterday,0.0295,0.569,0.84,0.000118,-4.123,1,183.059,0.749,happy
3TcL0dyCMyr0kyTTc4NLgI,Who Says,0.0843,0.682,0.927,0,-2.915,1,101.019,0.744,happy
1mHGtXWQSfnzB5CLVnsykO,All Night,0.0558,0.761,0.42,2.73e-05,-5.752,1,159.977,0.798,happy
2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,0.33,0.798,0.744,0.000106,-5.328,0,82.356,0.794,happy
3FN7IJMnUMWZXDw08ix3ot,Stop This Flame - Celeste x MK,0.0194,0.692,0.846,2.91e-05,-5.72,1,124.007,0.827,happy
7MiLmLbwNoyf47xQ4TCVYp,Papa Was A Rollin' Stone - Single Version,0.451,0.817,0.405,0.0507,-13.513,0,121.467,0.898,happy
7GVUmCP00eSsqc4tzj1sDD,Come and Get Your Love - Single Version,0.172,0.731,0.804,0.00028,-7.621,0,107.383,0.957,happy
7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,0.00178,0.646,0.813,2.26e-05,-5.29,0,112.115,0.821,happy
2Iq6HhIquO7JKr0KfTNLzU,My Type,0.0641,0.595,0.896,5.82e-05,-2.951,1,118.001,0.567,happy
3lWQgPeo8TrZZQT4qPScxg,A Second to Midnight,0.0339,0.803,0.764,0.000703,-5.233,1,122.014,0.614,happy
32hMObO47FeOlNPfn58XiZ,Stained Glass Curtain,0.483,0.617,0.668,0.0774,-5.254,1,128.979,0.499,happy
4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,0.00234,0.73,0.849,2.57e-05,-5.281,0,117.308,0.887,happy
7jhFwwJbpd7ZVJeT2DvrJn,(The Ballad of) Buddy Kid,0.261,0.407,0.733,3.57e-05,-9.15,1,168.852,0.835,happy
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,0.969,0.545,0.366,0.267,-9.51,1,86.997,0.1,sad
2374M0fQpWi3dLnB54qaLX,Africa,0.257,0.671,0.373,8.01e-05,-18.064,1,92.718,0.732,happy
5gB2IrxOCX2j9bMnHKP38i,Life is a Highway,0.00211,0.562,0.934,0,-5.562,1,103.042,0.558,happy
0N4DPoheO9PBfubvvsckvt,The Sailor's Song,0.438,0.543,0.495,0.00899,-13.361,0,100.137,0.571,happy
5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),0.403,0.568,0.824,0,-4.613,1,108.625,0.753,happy
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,0.863,0.451,0.326,0,-9.239,0,81.726,0.55,happy
6XK6Zw6JkFsHXzAcMWNiIr,Send Me On My Way,0.125,0.5,0.704,1.79e-05,-8.797,1,119.463,0.722,happy
0JXXNGljqupsJaZsgSbMZV,Sure Thing,0.0267,0.684,0.607,0.000307,-8.127,0,81.001,0.498,sad
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,0.0207,0.671,0.845,0,-4.93,0,110.056,0.775,happy
3GuXR9DKM0Xv6brcqFkcRJ,Used To Surf,0.438,0.498,0.636,0.0426,-6.465,1,154.945,0.343,happy
5qII2n90lVdPDcgXEEVHNy,Sunday Morning,0.0913,0.608,0.768,0,-5.227,1,88.059,0.809,happy
3FkQN4NyCFlfn7fWzBkWCj,Thunder Island,0.00113,0.497,0.718,0.0606,-7.744,1,127.79,0.792,happy
4E4Gxykl5nYMSIwlIVzjGr,Going Kokomo,0.00262,0.448,0.942,0.0286,-4.196,1,171.979,0.786,happy
38RLObegC9ggpKPRVQDc1g,AMERICAN HORROR SHOW,0.0393,0.63,0.763,0,-4.89,1,162.152,0.295,happy
5YqpHuXpFjDVZ7tY1ClFll,Heartbeats,0.977,0.589,0.177,0.714,-14.891,1,88.409,0.311,sad
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,0.559,0.703,0.444,0,-9.331,1,150.96,0.712,happy
7b4iOHMngSAFhgN120hbWB,A Kiss,0.208,0.697,0.923,0.000736,-4.646,1,169.999,0.635,happy
3nFJbZCHP4d9vduKjJLdBL,Never Too Much,0.125,0.734,0.586,0,-11.866,1,109.933,0.762,happy
0QZyAYqpbsfnBfZ4vMRSVd,Wings (I Won't Let You Down),0.0746,0.692,0.856,1.15e-05,-2.963,0,125.99,0.963,happy
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,0.201,0.64,0.663,0.00806,-7.516,1,132.77,0.663,happy
